date,plant_id,tray_id,LFW_g,LDW_g,LA_mm2,actual_height_cm,area,perimeter,width,length,convex_hull,compactness,R_channel,G_channel,B_channel,H_channel,S_channel,V_channel,height_cm_max,height_cm_mode,e_minoraxis,e_majoraxis,e_eccentricity
07-Jul,1,1,123.17,5.41,1239.55,15.5,30358.5,939.5361396,246,209,35946.5,0.844546757,64,68,30,33,151,68,14.9,12.5,171.2613068,239.5087585,0.699070884
07-Jul,2,1,108.03,4.29,1178.83,16.4,22648.5,773.7371501,185,205,25651.5,0.882930823,66,70,33,34,144,70,11.9,9.7,157.3960266,190.7871094,0.565158273
07-Jul,3,1,110.89,5.47,1247.35,15.3,23069,737.2102387,180,216,26536.5,0.869330922,63,69,34,35,142,69,12.7,11.2,161.1418457,195.9551086,0.568995521
07-Jul,4,1,123.17,6.19,1341.36,15.6,24625,739.8376553,190,216,27874,0.883439765,62,67,31,35,148,67,12.6,11.1,164.47995,203.0608521,0.586425388
07-Jul,5,1,123.49,4.96,1300.6,16.3,31821,824.4650719,246,203,35581,0.894325623,61,66,29,34,154,66,16.6,14.1,174.3293304,242.8752594,0.696277072
07-Jul,6,1,141.58,6.64,1492.44,16.8,31726,845.0092282,234,188,35582.5,0.891618071,56,59,24,32,158,60,18.3,17,170.6791687,249.4519653,0.729278878
07-Jul,7,1,84.04,3.78,886.55,14.6,17642.5,641.2274836,186,168,20831.5,0.846914528,68,72,35,33,143,72,12.5,11,144.3089905,170.1155853,0.529516491
07-Jul,8,1,120.54,5.67,1268.6,16,23148.5,743.3107439,198,180,26624,0.869459886,63,69,35,35,138,69,12.7,11.2,169.3104553,186.5121613,0.419464662
07-Jul,9,1,97.07,4.97,1071.79,15.4,18828,619.1269784,162,181,20562.5,0.915647416,63,70,35,37,139,70,10.8,9.7,144.6741638,171.0332642,0.533368186
07-Jul,10,1,135.18,6.71,1450.53,16.2,28887.5,741.5361396,224,190,31213.5,0.925480962,61,65,28,33,155,65,15,13.5,175.5037537,213.385437,0.568804199
07-Jul,11,1,144.55,6.61,1552.82,15.5,36095,868.1808012,277,199,39053,0.924256779,60,64,24,33,169,64,17.4,15.8,180.6876068,259.578186,0.717962648
07-Jul,12,1,124.53,5.89,1328.49,15.4,27103.5,799.8792855,234,185,31175.5,0.869384613,65,67,29,32,155,68,13.9,13,168.2998352,220.1195068,0.644524189
07-Jul,13,1,134.5,6.21,1324.1,16.1,24254.5,734.2224313,210,178,27511.5,0.881613144,66,69,31,33,152,69,12.9,11.5,170.2718353,191.8955536,0.461163521
07-Jul,14,1,119.07,5.23,1334.82,15.3,21968.5,695.1097335,183,177,24332,0.902864541,62,68,33,36,143,68,10.1,8.3,163.6417084,174.6234131,0.349028603
07-Jul,15,1,116.38,5.96,1236.41,15.5,22325.5,703.2518688,214,178,25713,0.868257302,61,67,31,36,151,67,12.5,11.2,160.9555054,187.910202,0.516055018
07-Jul,16,1,142.13,6.41,1478.7,16.5,31231.5,823.3940042,240,194,35023.5,0.891729839,63,67,26,33,164,67,15.4,14.5,185.0544891,226.9443054,0.57887249
07-Jul,17,1,108.48,5.52,1138.52,14.7,28238.5,813.3107439,225,172,31857,0.886414289,63,65,31,32,144,66,14.1,12.7,168.9400177,227.976181,0.671458228
07-Jul,19,1,140.24,6.73,1461.96,15.6,25556,738.523947,190,202,28078,0.910178788,64,69,32,34,147,69,13.5,11.5,178.2996368,187.7129974,0.312698675
07-Jul,20,1,102.93,5.24,1149.81,14.5,21227.5,661.7127649,184,181,23642,0.89787243,66,72,36,35,139,72,10.6,9.1,165.6647491,168.2057648,0.173161694
07-Jul,21,1,128.89,6.33,1284.9,16.5,27669,766.3818116,203,195,31524,0.877712219,65,70,30,33,159,70,12.9,10.8,184.4313812,204.8046112,0.434807182
07-Jul,22,1,136.72,6.61,1521.47,17,32714,914.523947,292,191,38379.5,0.852382131,63,67,25,33,168,67,16.4,14.7,172.7981262,259.8529053,0.746857254
07-Jul,24,1,121.19,6.02,1371.53,16,26196,707.6955199,211,200,28768.5,0.910579279,70,72,33,31,150,72,14.5,11.7,185.025528,189.1768799,0.208343524
07-Jul,25,1,139.37,5.84,1388.1,16.1,27607.5,766.9675981,197,199,30629.5,0.901336946,66,70,33,33,146,70,13.3,12.2,184.9177856,196.8738556,0.343177957
07-Jul,26,1,124.27,6.55,1333.33,15,25442.5,726.6244522,209,199,28945.5,0.878979461,70,73,32,33,153,73,14,11.4,173.806488,196.8997498,0.469907549
07-Jul,27,1,122.13,6.05,1275.84,15.5,31125,970.0041759,225,215,36692.5,0.848265994,65,69,26,33,166,69,14.2,10.8,190.15065,221.0380554,0.509852146
07-Jul,1,2,119.1,6.25,1024.79,12.6,23004.5,683.5117544,197,178,25773,0.892581384,67,66,36,29,129,69,12.2,9.9,161.8673401,188.3131256,0.511026712
07-Jul,2,2,117.52,5.48,1089.28,12.8,20028,608.4995618,178,166,21893.5,0.914792062,67,67,37,30,127,69,11.5,10.8,152.0975494,171.4883423,0.461910644
07-Jul,3,2,121.26,6.21,1053.23,13.6,20920,620.7249575,172,180,22607.5,0.925356629,65,67,36,32,131,67,10.7,10.2,164.6649323,168.9585266,0.2240055
07-Jul,4,2,114.7,5.53,1067.94,13,20729.5,630.5411919,186,173,22879.5,0.906029415,64,65,34,32,135,66,11.6,10.5,156.0869446,178.2204437,0.482659108
07-Jul,5,2,114.14,5.66,991.88,13.3,25033,711.8376553,200,188,27248.5,0.918692772,66,67,34,31,137,68,13.2,11.2,170.4996338,192.7007446,0.465990546
