LFW_g,LDW_g,LA_mm2,plant_area,plant_convex_hull_area,plant_solidity,plant_perimeter,plant_width,plant_height,plant_longest_path,plant_convex_hull_vertices,plant_ellipse_major_axis,plant_ellipse_minor_axis,plant_ellipse_angle,plant_ellipse_eccentricity,height_cm
14.45,1.05,209.3,9577,13056,0.733532475,642.3574264,161,115,1100,30,151.9101563,100.1685181,78.88293457,0.751798284,6.2
17.64,1.27,258.701,9595,12409,0.773229108,544.215291,126,132,983,28,135.755661,114.0140762,39.30951309,0.542822147,6.3
17.03,1.18,241.3,8488,11092,0.765236206,528.215291,122,149,995,27,133.8710785,103.9431763,12.06201363,0.630188273,6.8
14.05,1,218.47,7329,9826,0.745878282,521.0437181,113,124,899,27,132.7271881,88.93271637,32.50265884,0.742323695,5.2
15.89,1.17,242.23,10014,12979.5,0.771524327,604.2569212,139,128,992,29,130.65065,126.7867279,78.74173737,0.241400635,8.1
9.53,0.73,142.409,7847,10069.5,0.779283976,534.3574264,140,101,936,27,133.7427673,93.12099457,81.37419128,0.717780566,6.2
20.82,1.41,287.15,11008,14561,0.755992034,614.8010775,162,134,1107,27,149.4004364,118.6756973,102.3423843,0.607465071,7.1
7.22,0.5,120.268,4182,5772.5,0.724469467,379.7056246,107,76,707,26,101.1609192,75.55534363,94.87615967,0.664955777,4.2
20.02,1.36,269.43,9944,13822,0.719432788,668.6833273,145,130,1007,31,129.3929596,118.3364105,76.59313202,0.404471478,4.2
15.5,1.09,221.624,8213,11070.5,0.741881577,602.5584369,145,108,929,27,130.4325104,98.52879333,89.89489746,0.655263284,5.1
15.27,1.13,223.66,9442,12465,0.757480947,591.5289993,131,148,1027,28,133.8849792,109.3711548,0.025953421,0.576773875,7
13.06,1,189.707,9123,12528,0.728208812,666.7422024,145,126,935,25,130.5475006,104.6470184,72.37324524,0.597859262,6
13.77,1.03,203.95,8473,11562,0.73283169,541.9726504,145,119,1001,25,147.657074,96.90512085,121.2785721,0.754513099,5.7
22.32,1.5,307.349,10663,13924.5,0.765772559,680.8254627,153,144,1018,33,142.2178497,116.2337112,57.72008896,0.576221731,4.2
17.61,1.2,246.58,8737,11845.5,0.737579672,603.0853482,130,136,918,30,140.8653412,101.3809357,144.1686707,0.694284078,4.2
15.09,1.06,243.101,8391,12056.5,0.695973127,576.3157963,140,135,975,26,147.0075836,103.2386246,43.0410347,0.711913327,5.7
20.41,1.39,290.5,11940,17279.5,0.690992216,712.523947,155,155,1171,27,151.9862518,140.0823212,17.80718231,0.387956742,7.4
17.67,1.23,271.755,8866,12159,0.729171807,566.5584369,114,138,981,23,140.6734924,104.9859924,176.1565704,0.665598848,7.7
10.1,0.66,154.78,5857,7691,0.761539462,449.84776,103,113,817,26,114.7730103,85.9243927,29.34553719,0.662969589,4.2
11.03,0.73,172.122,6513,9229.5,0.70567203,550.9604578,131,100,867,24,124.6787186,90.96248627,103.1915512,0.683900724,3.7
13.4,0.93,192.85,7569,9396,0.805555556,482.9604578,109,134,907,27,125.3763123,92.16550446,13.63631058,0.677946782,4.9
18.85,1.29,266.474,10980,14980.5,0.732952839,671.8965304,153,142,1033,31,146.0235901,118.9274597,47.3403511,0.580247713,6.6
9.66,0.76,145.75,6031,9010,0.66936737,614.2985513,112,124,994,25,129.3961487,79.16493225,46.4653511,0.791010288,5.7
18.3,1.28,272.335,10253,14702,0.69738811,697.754395,164,137,1140,27,147.6864471,114.8220139,57.48929214,0.628918086,6.3
16.61,1.13,245.47,9469,12801.5,0.739678944,603.3279889,127,137,921,30,133.8975525,109.5581131,155.2956085,0.574900372,5.8
15.85,1.11,268.223,8424,11556,0.728971963,610.4995618,134,129,947,25,137.5144196,99.06851959,117.6801453,0.693535166,5
21.94,1.5,333.1,12216,16251.5,0.75168446,694.6416972,175,144,1146,28,153.0970459,122.1991272,100.9158554,0.60241793,6.9
16.16,1.16,238.524,8745,12358,0.707638777,617.8132701,158,111,1172,29,150.4377899,99.1673584,107.8782959,0.751974842,8
16.13,1.28,241.39,8051,9839.5,0.818232634,535.0437181,129,118,913,28,127.555603,95.48614502,132.9628448,0.663039421,6.6
14.94,1.16,240.186,7380,10272.5,0.718422974,596.2985513,108,146,956,24,130.4899445,90.82511902,157.4714966,0.718011193,6.8
13.98,1.11,208.46,7480,9167,0.815970328,460.4751766,101,129,932,28,136.5204468,86.46333313,154.1631775,0.773876819,5.5
18.46,1.47,212.21,9066,12009.5,0.754902369,594.1147858,122,141,947,28,132.1077728,101.9765549,20.06751633,0.635720391,6.4
12.57,0.98,197.72,7110,10217.5,0.695864938,601.830515,135,103,907,30,122.9129791,92.5032959,97.70893097,0.658487384,6.3
13.36,1.04,216.532,7769,11062,0.702314229,628.4163015,136,107,987,20,128.7800293,98.96364594,97.3538208,0.639885287,6.3
14,1.13,216.63,6952,9282.5,0.74893617,489.5878744,114,121,927,27,126.1427155,94.75880432,140.2687073,0.660071085,5.4
16.83,1.31,271.323,8216,10831,0.758563383,594.8427076,118,136,950,24,133.8576965,96.00247955,153.2829437,0.696869393,6.6
14.45,1.12,223.39,7073,8779.5,0.805626744,482.232536,97,130,862,23,123.0718384,86.65261078,7.848488331,0.710119124,4
16.31,1.28,245.971,8460,11286,0.749601276,618.9432129,128,128,967,25,129.9530792,101.9451218,129.3709106,0.620158691,5.6
9.18,0.79,150.43,6218,8341,0.745474164,479.2619735,141,95,885,22,128.1821136,83.0736084,85.9997406,0.76156334,6.2
16.21,1.31,252.227,9947,13049.5,0.762251427,621.7716399,142,134,1010,28,132.0718842,113.4041061,59.41504288,0.512554972,6.1
17.82,1.34,239.38,9117,12543.5,0.726830629,599.7716399,143,123,1040,27,141.1459351,104.2642059,118.5681992,0.674036654,5.4
16.65,1.22,258.909,8171,11331.5,0.721087235,570.8427076,129,130,894,28,134.464035,103.3765106,31.25575256,0.639484285,4.5
18.89,1.35,266.83,8296,10976,0.755830904,558.3574264,108,144,981,30,138.1123962,94.44711304,13.71242809,0.729629746,5.2
15.4,1.12,287.218,7787,9813,0.793539183,501.002088,128,109,926,23,124.182869,93.6244278,123.6007767,0.656961806,6
11.06,0.89,163.84,7471,10020.5,0.745571578,602.0142806,156,103,998,26,144.429245,89.49330139,71.97303009,0.784890721,5.9
21.11,1.6,313.173,11733,14838.5,0.790713347,718.7249575,148,164,1116,27,156.1870422,110.2352371,34.08246613,0.708421213,7.4
20.42,1.53,301.3,10381,14965.5,0.693662089,678.4406867,144,153,997,32,141.2232666,122.1140366,152.3135834,0.502309664,5.9
18.11,1.36,262.984,8734,11881,0.735123306,612.3157963,146,116,918,30,133.3897552,100.9505615,89.48587799,0.653636139,4.3
16.2,1.24,202.77,8850,11007.5,0.803997275,523.2030984,113,142,946,29,130.2455139,102.5031433,2.010250807,0.616953742,5.8
17.39,1.34,263.316,10124,13511,0.749315373,686.6416972,162,136,1092,26,143.2880554,110.7071457,108.1312256,0.634869363,7
14.14,1.21,187.17,8014,12238,0.654845563,638.8427076,134,114,1119,25,132.1012115,107.8663635,126.1973267,0.577284147,6.6
17.58,1.35,250.816,10300,14089,0.73106679,691.2274836,148,123,1058,32,143.0868683,114.709877,76.90055847,0.597753475,6.7
8.67,0.71,148.6,5347,7165,0.746266574,492.9604578,88,128,813,23,124.8246307,72.05143738,16.45923615,0.816587751,5
16.45,1.27,247.031,9012,12221.5,0.737389028,602.4995618,133,122,934,27,128.146286,109.0149689,59.5734787,0.525639849,6
16.73,1.27,262.4,9503,12254,0.775501877,576.3574264,133,128,936,30,135.1851044,108.52388,58.3885994,0.596275512,7.6
13.5,1.11,196.24,8684,11724,0.740702832,529.5289993,118,130,974,30,123.2838898,117.0506973,1.77061677,0.313947535,7.8
14.98,1.15,234.38,9332,12452.5,0.749407749,590.8427076,149,126,1071,29,141.3758545,105.435112,124.2327728,0.666193676,7.8
18.22,1.39,282.702,9299,12584,0.738954228,579.7127649,155,110,1035,31,145.1900635,101.0321732,97.16458893,0.718176019,6
16.69,1.3,252.3,8530,11255.5,0.757851717,526.7594473,122,139,948,29,131.2134094,105.6663513,36.45842361,0.592865537,4.5
16.42,1.27,243.611,8613,10892,0.790763863,545.2447286,130,129,869,29,123.6798096,101.4857788,53.51176071,0.571571142,5.3
18.32,1.33,275.55,9674,12937.5,0.747748792,620.5411919,164,125,1006,28,145.5087128,108.3796768,90.9803009,0.667251038,6.4
19.55,1.46,287.952,21435,36002.5,0.595375321,1242.271202,302,145,2099,28,291.4674683,143.2536469,89.347229,0.870882636,
16.76,1.29,258.91,8523,11248,0.757734708,636.600067,137,113,981,25,131.0577087,95.74759674,82.05197906,0.682831553,6.7
22.93,1.66,328.227,9741,13371,0.72851694,631.9137753,149,128,1028,27,138.9650116,113.8944016,83.47120667,0.572949765,5.9
8.43,0.72,144.08,4962,5998.5,0.827206802,401.4041089,107,84,715,26,103.5505905,74.6712265,82.14124298,0.692821994,3.8
16.95,1.28,245.054,8385,11055.5,0.758446022,575.7716399,146,109,1015,31,140.0490723,97.34463501,71.8956604,0.718937052,5.8
15.71,1.16,234.18,9084,11790.5,0.770450787,673.1269784,145,126,1040,28,149.7911224,90.92461395,61.98155975,0.794694679,6.4
13.21,0.98,215.013,8968,10905,0.822375057,533.3868639,133,109,958,33,136.2849426,95.82023621,60.38981247,0.71110337,6.4
15.35,1.17,231.92,8057,11079,0.7272317,642.6416972,116,138,919,26,129.228714,98.43501282,160.9983521,0.647916207,6.1
14.89,1.18,225.814,7594,9052.5,0.838884286,437.5046141,124,104,896,33,123.5358047,87.76928711,62.74071503,0.703720919,4.2
13.21,0.97,213.39,6834,9180,0.744444444,509.3452338,133,97,911,24,129.0742798,87.21221924,95.77313232,0.737199948,3.9
0.5,0.09,14.421,938,1087,0.862925483,165.6396092,40,37,284,19,39.26280594,33.24297333,129.1674347,0.532104812,1.7
19.28,1.42,299.61,10073,12934.5,0.778769956,549.0437181,172,118,1085,26,159.2326202,105.9311218,87.97216034,0.746611607,7.9
7.2,0.64,117.528,3865,5542,0.69740166,457.2030984,101,88,644,21,90.51222229,71.6342926,86.15610504,0.611256884,5.6
