,Unnamed: 0,date,plant_id,tray,plant_area,plant_convex_hull_area,plant_solidity,plant_perimeter,plant_width,plant_height,plant_longest_path,plant_convex_hull_vertices,plant_ellipse_major_axis,plant_ellipse_minor_axis,plant_ellipse_angle,plant_ellipse_eccentricity,total_plants
0,0,Jun-19-2023,plant0,T01,572,618,0.925566343042071,122.325900912284,49,25,344,16,59.6120491027832,12.9005765914917,110.785743713378,0.976302820866513,55
1,1,Jun-19-2023,plant1,T01,696,856,0.813084112149532,148.811182141304,52,32,401,18,63.2291259765625,16.1826076507568,114.429977416992,0.966693736180323,55
2,2,Jun-19-2023,plant2,T01,488,570,0.856140350877193,113.740114450454,18,44,285,14,42.991600036621,16.9278163909912,177.225982666015,0.919218824742672,55
3,3,Jun-19-2023,plant3,T01,453,536.5,0.844361602982292,112.669046759605,23,37,250,14,37.996726989746,17.407320022583,13.3843908309936,0.88888683709903,55
4,4,Jun-19-2023,plant4,T01,347,481.5,0.720664589823468,141.940370202064,19,41,289,16,41.6088485717773,13.9458293914794,15.4379987716674,0.942159449484951,55
5,5,Jun-19-2023,plant5,T01,329,467.5,0.703743315508021,140.262560725212,33,30,281,13,42.0012855529785,13.7910594940185,132.588729858398,0.944556645487211,55
6,6,Jun-19-2023,plant6,T01,324,369,0.878048780487804,87.2548332214355,30,25,240,14,35.9396705627441,12.6721687316894,53.3849258422851,0.935775807539182,55
7,7,Jun-19-2023,plant7,T01,454,534.5,0.849391955098222,111.396968603134,34,32,286,16,42.0732879638671,15.695966720581,43.3550682067871,0.927806207219893,55
8,8,Jun-19-2023,plant8,T01,384,452.5,0.848618784530386,107.154327988624,35,27,259,16,43.2558441162109,13.0379390716552,59.9502410888671,0.953493205525888,55
9,9,Jun-19-2023,plant9,T01,428,528.5,0.809839167455061,109.982755064964,40,25,285,15,43.5632438659668,15.4154109954833,66.6107635498046,0.935297346400852,55
10,10,Jun-19-2023,plant10,T01,618,740,0.835135135135135,137.154327988624,44,26,300,15,43.1398773193359,23.7716426849365,90.5652389526367,0.834481207768671,55
11,11,Jun-19-2023,plant11,T01,662,797.5,0.830094043887147,139.396968603134,54,23,369,19,54.819896697998,18.795783996582,102.22216796875,0.939384953405339,55
12,12,Jun-19-2023,plant12,T01,565,647,0.873261205564142,125.840619683265,49,24,346,16,52.9330749511718,15.8512344360351,107.108963012695,0.954109473413799,55
13,13,Jun-19-2023,plant13,T01,374,536,0.69776119402985,149.588447451591,32,31,256,14,35.4908790588378,18.4504604339599,45.1221389770507,0.854248523677395,55
14,14,Jun-19-2023,plant14,T01,178,179,0.994413407821229,56.2842707633972,14,20,138,14,21.6736965179443,10.1718788146972,161.587265014648,0.883028664652748,55
15,15,Jun-19-2023,plant15,T01,417,498.5,0.836509528585757,107.254833221435,18,41,295,17,44.7836952209472,14.0804138183593,170.689636230468,0.949287491854604,55
16,16,Jun-19-2023,plant16,T01,609,796,0.765075376884422,186.760270118713,39,37,304,18,48.4472122192382,19.2535495758056,49.1378479003906,0.917639878371084,55
17,17,Jun-19-2023,plant17,T01,354,384.5,0.920676202860858,90.3259009122848,29,29,233,14,39.540054321289,12.0074110031127,43.2041282653808,0.952774993705045,55
18,18,Jun-19-2023,plant18,T01,308,379,0.812664907651715,91.8406196832656,30,27,229,13,37.2662391662597,12.9658422470092,128.72215270996,0.937522509632087,55
19,19,Jun-19-2023,plant19,T01,449,544,0.825367647058823,108.811182141304,40,24,279,17,41.1306686401367,17.3271083831787,110.744491577148,0.906935366530634,55
20,20,Jun-19-2023,plant20,T01,365,429,0.85081585081585,92.0832602977752,31,27,232,16,37.8362998962402,14.4780216217041,124.845634460449,0.923893801744995,55
21,21,Jun-19-2023,plant21,T01,768,977,0.786079836233367,143.982755064964,50,35,370,17,57.2487869262695,20.5317115783691,64.2909774780273,0.933475906098956,55
22,22,Jun-19-2023,plant22,T01,714,872.5,0.818338108882521,133.982755064964,46,33,345,16,50.0743522644043,20.7519245147705,58.886619567871,0.910084731695108,55
23,23,Jun-19-2023,plant23,T01,539,622,0.866559485530546,116.225395679473,32,37,302,17,44.5958213806152,16.2913169860839,145.85740661621,0.930885770415919,55
24,24,Jun-19-2023,plant24,T01,412,478,0.861924686192468,101.012192606925,39,18,270,14,43.5030784606933,13.7330293655395,80.2751998901367,0.948865882679905,55
25,25,Jun-19-2023,plant25,T01,444,556.5,0.797843665768194,151.416110634803,25,36,248,15,35.3315658569335,20.1695289611816,19.8565788269042,0.82104443970984,55
26,26,Jun-19-2023,plant26,T01,324,440,0.736363636363636,152.226116895675,39,16,269,14,39.0443801879882,13.5256919860839,79.9424133300781,0.938080107084829,55
27,27,Jun-19-2023,plant27,T01,386,512.5,0.753170731707317,105.012192606925,34,26,243,13,35.0902709960937,19.1994686126709,123.493675231933,0.837037799390038,55
28,28,Jun-19-2023,plant28,T01,345,483.5,0.713547052740434,139.139603853225,34,29,260,14,38.9977416992187,16.5466728210449,125.931907653808,0.905522507207808,55
29,29,Jun-19-2023,plant29,T01,306,389.5,0.785622593068036,93.5979790687561,32,25,247,15,37.9569778442382,12.6847448348999,55.9106636047363,0.942506637833166,55
30,30,Jun-19-2023,plant30,T01,410,488,0.840163934426229,107.497473835945,17,39,278,13,39.9153213500976,14.8857793807983,4.09816789627075,0.927857883335482,55
31,31,Jun-19-2023,plant31,T01,509,633,0.804107424960505,118.225395679473,28,41,267,13,40.6524429321289,19.9086151123046,21.7756004333496,0.871875607721377,55
32,32,Jun-19-2023,plant32,T01,611,649.5,0.94072363356428,112.911687374115,29,36,267,17,40.16499710083,20.0930480957031,147.178161621093,0.865873706618754,55
33,33,Jun-19-2023,plant33,T01,450,572.5,0.786026200873362,110.426406145095,40,25,278,14,42.3841743469238,16.7621231079101,111.434654235839,0.918474285316342,55
